umbral,marcadas,tp,fp,fn,tn,precision,recall,f1,f2,accuracy
0.52,1464,677,787,18,4518,0.462431693989071,0.9741007194244604,0.6271421954608615,0.7975966069745524,0.8658333333333333
0.53,1377,674,703,21,4602,0.48946986201888165,0.9697841726618706,0.6505791505791506,0.8106807794082271,0.8793333333333333
0.54,1294,673,621,22,4684,0.5200927357032458,0.9683453237410072,0.6767219708396178,0.8259695630829652,0.8928333333333334
0.55,1228,672,556,23,4749,0.5472312703583062,0.9669064748201439,0.6989079563182529,0.8383233532934133,0.9035
0.56,1164,664,500,31,4805,0.570446735395189,0.9553956834532374,0.7143625605164066,0.8417849898580121,0.9115
0.57,1094,658,436,37,4869,0.6014625228519196,0.9467625899280575,0.7356064840693124,0.8492514197212184,0.9211666666666667
0.58,1035,654,381,41,4924,0.6318840579710145,0.9410071942446043,0.7560693641618498,0.8571428571428571,0.9296666666666666
0.59,981,651,330,44,4975,0.6636085626911316,0.9366906474820144,0.7768496420047734,0.8654613134804573,0.9376666666666666
0.6,924,644,280,51,5025,0.696969696969697,0.9266187050359712,0.7955528103767758,0.869330453563715,0.9448333333333333
0.61,882,639,243,56,5062,0.7244897959183674,0.9194244604316547,0.8103994927076728,0.8724740578918624,0.9501666666666667
0.62,844,635,209,60,5096,0.7523696682464455,0.9136690647482014,0.825211176088369,0.8761037527593819,0.9551666666666667
0.63,802,626,176,69,5129,0.7805486284289277,0.9007194244604316,0.8363393453573814,0.8738135120044668,0.9591666666666666
0.64,766,620,146,75,5159,0.8093994778067886,0.8920863309352518,0.8487337440109515,0.8742244782853921,0.9631666666666666
0.65,733,615,118,80,5187,0.8390177353342428,0.8848920863309353,0.8613445378151262,0.8753202391118702,0.967
0.66,706,609,97,86,5208,0.8626062322946175,0.8762589928057554,0.8693790149892933,0.8734939759036146,0.9695
0.67,688,601,87,94,5218,0.873546511627907,0.8647482014388489,0.8691250903832248,0.8664936562860438,0.9698333333333333
0.68,667,591,76,104,5229,0.8860569715142429,0.8503597122302158,0.8678414096916299,0.8572671888598781,0.97
0.69,643,579,64,116,5241,0.9004665629860031,0.8330935251798561,0.8654708520179373,0.8457493426818581,0.97
0.7,621,574,47,121,5258,0.9243156199677939,0.8258992805755395,0.8723404255319148,0.8438694501617171,0.972
0.71,608,568,40,127,5265,0.9342105263157895,0.8172661870503597,0.8718342287029932,0.8382526564344747,0.9721666666666666
0.72,592,561,31,134,5274,0.9476351351351351,0.8071942446043165,0.8717948717948718,0.8318505338078293,0.9725
0.73,582,556,26,139,5279,0.9553264604810997,0.8,0.8707909162098669,0.8268887566924449,0.9725
0.74,570,550,20,145,5285,0.9649122807017544,0.7913669064748201,0.8695652173913044,0.8208955223880597,0.9725
0.75,559,543,16,152,5289,0.9713774597495528,0.781294964028777,0.8660287081339714,0.8131176999101527,0.972
0.76,554,540,14,155,5291,0.9747292418772563,0.7769784172661871,0.8646917534027221,0.8098380323935214,0.9718333333333333
0.77,539,528,11,167,5294,0.9795918367346939,0.7597122302158273,0.8557536466774716,0.7954203073214824,0.9703333333333334
0.78,527,517,10,178,5295,0.9810246679316889,0.7438848920863309,0.8461538461538461,0.7816752343513758,0.9686666666666667
0.79,516,507,9,188,5296,0.9825581395348837,0.7294964028776978,0.8373245251857969,0.7691140776699029,0.9671666666666666
0.8,504,498,6,197,5299,0.9880952380952381,0.7165467625899281,0.8306922435362802,0.7582216808769794,0.9661666666666666
0.81,494,489,5,206,5300,0.9898785425101214,0.7035971223021583,0.8225399495374265,0.7467929138668297,0.9648333333333333
0.82,484,482,2,213,5303,0.9958677685950413,0.6935251798561151,0.8176420695504665,0.7383578431372547,0.9641666666666666
0.83,478,476,2,219,5303,0.99581589958159,0.6848920863309352,0.8115942028985507,0.7305095150399018,0.9631666666666666
0.84,469,468,1,227,5304,0.997867803837953,0.6733812949640288,0.8041237113402063,0.7202216066481995,0.962
0.85,459,459,0,236,5305,1.0,0.660431654676259,0.7954939341421143,0.708552022229083,0.9606666666666667
0.86,445,445,0,250,5305,1.0,0.6402877697841727,0.7807017543859649,0.689922480620155,0.9583333333333334
0.87,441,441,0,254,5305,1.0,0.6345323741007194,0.7764084507042254,0.6845700093138777,0.9576666666666667
0.88,431,431,0,264,5305,1.0,0.6201438848920864,0.7655417406749556,0.6711304889442542,0.956
0.89,420,420,0,275,5305,1.0,0.60431654676259,0.7533632286995516,0.65625,0.9541666666666667
0.9,405,405,0,290,5305,1.0,0.5827338129496403,0.7363636363636364,0.6357927786499216,0.9516666666666667
0.91,391,391,0,304,5305,1.0,0.5625899280575539,0.720073664825046,0.6165247555976033,0.9493333333333334
0.92,378,378,0,317,5305,1.0,0.543884892086331,0.7045666356011184,0.5984800506649778,0.9471666666666667
0.93,368,368,0,327,5305,1.0,0.5294964028776978,0.6923800564440263,0.5844980940279543,0.9455
0.94,356,356,0,339,5305,1.0,0.5122302158273381,0.6774500475737393,0.5676020408163265,0.9435
0.95,343,343,0,352,5305,1.0,0.4935251798561151,0.6608863198458574,0.5491514569324367,0.9413333333333334
0.96,332,332,0,363,5305,1.0,0.4776978417266187,0.6465433300876339,0.5334190231362468,0.9395
0.97,319,319,0,376,5305,1.0,0.4589928057553957,0.6291913214990139,0.5146821555340432,0.9373333333333334
0.98,310,310,0,385,5305,1.0,0.4460431654676259,0.6169154228855722,0.5016181229773463,0.9358333333333333
0.99,293,293,0,402,5305,1.0,0.42158273381294964,0.5931174089068826,0.47673283436381386,0.933
