particion,modelo,mse,roc_auc,pr_auc
27,lineal,0.024366554980733847,0.9933340268025866,0.9678446312028582
28,relu,0.02545596618484215,0.9873961963211456,0.9506668695618011
28,sigmoide,0.011529783463138718,0.9926362233664465,0.9540349297630247
28,lineal,0.025795141330659088,0.9879336349924586,0.9520824009696888
29,relu,0.025862699227221994,0.9917650526169796,0.963398274080871
29,sigmoide,0.011501076049868204,0.9926708968291118,0.9540556040717929
29,lineal,0.026262449188278632,0.9920641112324682,0.9639875399682358
30,relu,0.026345911200358983,0.9911886063001681,0.9543559259447406
30,sigmoide,0.011303700130822556,0.9904474610356964,0.9405934050442782
30,lineal,0.026678461997885247,0.9914486572701583,0.9551317488389078
31,relu,0.02455377720271006,0.9889348312269205,0.956270454995862
31,sigmoide,0.012181125099865136,0.9924238484076212,0.9552670178992075
31,lineal,0.025050268508475203,0.988999843969418,0.9562995798191087
32,relu,0.02516620355507819,0.9835821154279573,0.9335952030806058
32,sigmoide,0.011875881057600257,0.9888698184844229,0.9324643737622743
32,lineal,0.02546924626192189,0.9839505209687766,0.9347399049981541
33,relu,0.026883234780045024,0.9899360274613824,0.9558035928498425
33,sigmoide,0.010063866472750933,0.9938367920112342,0.9597073225853765
33,lineal,0.02715786289076209,0.9902394202597042,0.9562424740364995
34,relu,0.02539028712756287,0.9838118271181151,0.9347592436874854
34,sigmoide,0.010489178876248678,0.9902654253567033,0.9400691690379556
34,lineal,0.025717015702116115,0.9843015897782632,0.9358642456267855
35,relu,0.02529652686256163,0.9882933721676115,0.9526307084625182
35,sigmoide,0.010706517363752848,0.9928312615939391,0.9570740967951246
35,lineal,0.025511365251100756,0.9886444409770981,0.9536217830390036
36,relu,0.02544245375493341,0.98789462734696,0.9486341627573657
36,sigmoide,0.01092024417527051,0.9918734071878088,0.9466765815087058
36,lineal,0.025699229634427116,0.9883930583727744,0.9496155982213386
37,relu,0.026090304405126847,0.9842929214125968,0.9268800865104562
37,sigmoide,0.010680513485403852,0.9877992753246303,0.9253090021444763
37,lineal,0.026336637301115975,0.9847523447929127,0.9279027008336989
38,relu,0.025146949911379057,0.9905818207035245,0.9614812559545579
38,sigmoide,0.01110819205970249,0.9931606594892599,0.9613117476183303
38,lineal,0.025561031923733803,0.9910932542778385,0.9625859390133708
39,relu,0.025841431224366402,0.9907075120056864,0.9568819786107591
39,sigmoide,0.011074684583391165,0.9909632287928434,0.9460298702457979
39,lineal,0.026121161567337698,0.9911279277405038,0.9582477712964637
40,relu,0.02451135800581329,0.9854414798633866,0.9382942420448724
40,sigmoide,0.011285508370364305,0.9905558156065255,0.9466247937803469
40,lineal,0.024798126850672175,0.9861046098368613,0.9398446889769474
41,relu,0.02532616199453156,0.9878729564327942,0.9559649273805914
41,sigmoide,0.01027396565766284,0.9941358506267228,0.9646170502642252
41,lineal,0.025596724719290025,0.988202354328115,0.956805315356983
42,relu,0.025949790353491053,0.9895026091780655,0.9568591383618191
42,sigmoide,0.010683854855650267,0.9932300064145906,0.9576845821233247
42,lineal,0.026289276588695492,0.9900747213120439,0.9581156325324538
43,relu,0.02541872143834748,0.9881416757684506,0.9533705178657312
43,sigmoide,0.010887207944876152,0.9926969019261108,0.9573663210277252
43,lineal,0.025725255806306652,0.9888914893985888,0.9549954375769357
44,relu,0.026947991954494096,0.9869541096721625,0.946780439883801
44,sigmoide,0.011072480414940356,0.9936330854180753,0.9553265432566712
44,lineal,0.027111066353378566,0.9876822523881348,0.9484156830524757
45,relu,0.02533125416246993,0.9905904890691909,0.9589846069788207
45,sigmoide,0.010725250950662922,0.9947773096860318,0.967026793227799
45,lineal,0.025580566624401644,0.991032575718174,0.960204534645518
46,relu,0.026105522826409686,0.9858792323295366,0.9430114227184871
46,sigmoide,0.011896120341549245,0.9917260449714811,0.9527329400712456
46,lineal,0.02638198207868958,0.9861869593106916,0.9440435311015108
47,relu,0.02631882737153454,0.9873875279554792,0.9459472578898894
47,sigmoide,0.010892257597357409,0.9920857821466341,0.9480366445409525
47,lineal,0.026673421352486022,0.9877819385932977,0.9472426700500868
48,relu,0.028701925991131246,0.9917520500684801,0.9625250234937092
48,sigmoide,0.011101287975301943,0.9945432638130407,0.962156353461424
48,lineal,0.028894331152678726,0.9924108458591218,0.9640295274625326
49,relu,0.02557200689097548,0.9841542275619355,0.9371115260987706
49,sigmoide,0.011378258651599983,0.9899576983755483,0.9440153627899975
49,lineal,0.025894065350588923,0.9846699953190825,0.9382529102999311
