variant,triangles,regimen,seed,target,generation,best_fitness,best_global_fitness,mean_fitness,std_fitness,diversity,stalled,structure_stable,share_unchanged,evaluations,elapsed
800 tri · pm fijo,800,pm fijo,3,compleja,83,0.884636445289285,0.884636445289285,0.880576691550624,0.0023778465881349607,0.02999460100114292,0,0,0.0,6720,36.80769637506455
800 tri · pm fijo,800,pm fijo,3,compleja,84,0.8844618320360169,0.884636445289285,0.8806463649097491,0.0028638570544097072,0.02972614566841819,1,0,0.0,6800,37.32106166705489
800 tri · pm fijo,800,pm fijo,3,compleja,85,0.8849728602652956,0.8849728602652956,0.8808412768743945,0.002731867406871842,0.029179241721196673,0,0,0.0,6880,37.7471755000297
800 tri · pm fijo,800,pm fijo,3,compleja,86,0.8859175026924464,0.8859175026924464,0.880737691966673,0.0034040715418294145,0.029641518761890723,0,0,0.0,6960,38.17919687507674
800 tri · pm fijo,800,pm fijo,3,compleja,87,0.8848142297487915,0.8859175026924464,0.8812266613633761,0.0024940685254358536,0.029700385776551534,1,0,0.0,7040,38.64627645909786
800 tri · pm fijo,800,pm fijo,3,compleja,88,0.8864269456603561,0.8864269456603561,0.8814333348839067,0.002743773718501935,0.03011159773346226,0,0,0.0,7120,39.09749166702386
800 tri · pm fijo,800,pm fijo,3,compleja,89,0.8869325444389514,0.8869325444389514,0.8818061204596755,0.0030145175006151543,0.029805198516766874,0,0,0.0,7200,39.59017408406362
800 tri · pm fijo,800,pm fijo,3,compleja,90,0.8862562549495605,0.8869325444389514,0.8823431340153643,0.002235634667922747,0.029207095306775125,1,0,0.0,7280,40.03153866704088
800 tri · pm fijo,800,pm fijo,3,compleja,91,0.8864939889456831,0.8869325444389514,0.882265352828368,0.0026230900784819993,0.02883081854255425,2,0,0.0,7360,40.54386916698422
800 tri · pm fijo,800,pm fijo,3,compleja,92,0.886723448000025,0.8869325444389514,0.8822344597382532,0.0032200089395875435,0.028655504866393837,3,0,0.0,7440,41.01284199999645
800 tri · pm fijo,800,pm fijo,3,compleja,93,0.8869574687022621,0.8869574687022621,0.8826054308855411,0.0026509498115357545,0.027910416485216367,0,0,0.0,7520,41.45502700004727
800 tri · pm fijo,800,pm fijo,3,compleja,94,0.8873538820083821,0.8873538820083821,0.882742343985257,0.003440882086614414,0.027772411304843952,0,0,0.0,7600,41.88832083402667
800 tri · pm fijo,800,pm fijo,3,compleja,95,0.8863024321175621,0.8873538820083821,0.8825290285327974,0.002308750149702789,0.02876131299195671,1,0,0.0,7680,42.42553162504919
800 tri · pm fijo,800,pm fijo,3,compleja,96,0.8867631950098587,0.8873538820083821,0.8827566217980936,0.0020485791887797787,0.028301250321945012,2,0,0.0,7760,42.906291209044866
800 tri · pm fijo,800,pm fijo,3,compleja,97,0.8868150725972956,0.8873538820083821,0.8827738816864178,0.002464256338714904,0.028362928965119483,3,0,0.0,7840,43.43265325005632
800 tri · pm fijo,800,pm fijo,3,compleja,98,0.886296404049525,0.8873538820083821,0.8826867594253631,0.002602038335056011,0.028821886995783353,4,0,0.0,7920,43.92949262505863
