umbral,marcadas,tp,fp,fn,tn,precision,recall,f1,f2,accuracy
0.84,801,636,165,59,5140,0.7940074906367042,0.9151079136690647,0.8502673796791443,0.8880201061156101,0.9626666666666667
0.85,773,624,149,71,5156,0.8072445019404916,0.897841726618705,0.8501362397820162,0.8781311567689275,0.9633333333333334
0.86,748,617,131,78,5174,0.8248663101604278,0.8877697841726618,0.8551628551628552,0.8744331065759636,0.9651666666666666
0.87,725,610,115,85,5190,0.8413793103448276,0.8776978417266187,0.8591549295774648,0.8701854493580597,0.9666666666666667
0.88,705,606,99,89,5206,0.8595744680851064,0.8719424460431655,0.8657142857142858,0.8694404591104735,0.9686666666666667
0.89,681,602,79,93,5226,0.8839941262848752,0.8661870503597122,0.8749999999999999,0.8696908407974575,0.9713333333333334
0.9,657,584,73,111,5232,0.8888888888888888,0.8402877697841726,0.863905325443787,0.8495781204538844,0.9693333333333334
0.91,637,574,63,121,5242,0.9010989010989011,0.8258992805755395,0.8618618618618619,0.8399180567749486,0.9693333333333334
0.92,612,560,52,135,5253,0.9150326797385621,0.8057553956834532,0.8569242540168325,0.8254716981132075,0.9688333333333333
0.93,593,548,45,147,5260,0.924114671163575,0.7884892086330936,0.8509316770186336,0.8123332345093389,0.968
0.94,565,530,35,165,5270,0.9380530973451328,0.762589928057554,0.8412698412698413,0.7922272047832586,0.9666666666666667
0.95,544,515,29,180,5276,0.9466911764705882,0.7410071942446043,0.831315577078289,0.7746690734055354,0.9651666666666666
0.96,516,492,24,203,5281,0.9534883720930233,0.7079136690647482,0.8125516102394715,0.7463592233009709,0.9621666666666666
0.97,478,466,12,229,5293,0.9748953974895398,0.6705035971223021,0.794543904518329,0.7151626764886434,0.9598333333333333
0.98,445,438,7,257,5298,0.9842696629213483,0.6302158273381295,0.768421052631579,0.6790697674418605,0.956
0.99,362,362,0,333,5305,1.0,0.520863309352518,0.684957426679281,0.5760661998726926,0.9445
