estrategia,particion,mse_test,ap_test,fraude_test
estratificado,42,0.010683854855650267,0.9576845821233247,0.116
aleatorio,42,0.01099173601444761,0.9661097345120437,0.114
estratificado,43,0.010887207944876152,0.9573663210277252,0.116
aleatorio,43,0.01125698306025985,0.9629340246722794,0.12466666666666666
estratificado,44,0.011072480414940356,0.9553265432566712,0.116
aleatorio,44,0.010742924092110254,0.9683071145977642,0.12
estratificado,45,0.010725250950662922,0.967026793227799,0.116
aleatorio,45,0.01087552744874848,0.9385062158516855,0.12066666666666667
estratificado,46,0.011896120341549245,0.9527329400712456,0.116
aleatorio,46,0.011028413019286667,0.9534206503916006,0.112
estratificado,47,0.010892257597357409,0.9480366445409525,0.116
aleatorio,47,0.010991600828728802,0.9459402531496721,0.12133333333333333
estratificado,48,0.011101287975301943,0.962156353461424,0.116
aleatorio,48,0.01094433114921418,0.9472417791494372,0.112
estratificado,49,0.011378258651599983,0.9440153627899975,0.116
aleatorio,49,0.011275469786329591,0.9536028903817126,0.12533333333333332
